text,rating,label
The worst shop ever. Idiotic interface. Constantly try to scam you by increasing the price when going to checkout,1,0
"Trustworthy-I ordered a product from amazon and the shipping was delayed. Amazon stated it was most likely lost and offered me a refund. I’ve always feared not receiving a package. But they told me before I even knew, and promptly returned my money plus shipping. Very impressed.",5,1
"Best company in the world, love them",4,1
"They are ok for items you know cannot go wrong , however don’t buy electricals, they only offer 4 week guarantee and returning anything is a nightmare !! I am a regular customer but that counts for nothing ",2,0
"I ordered a phone so I left a review on what happened. Amazon refused to put review on.this is the review and response I got from amazon ordered  phone and paid for it then i got phone call from them saying colour was out of stock will I take another colour I said no. it will take days to get money back. now I see the correct reason why ,price gone up this stinks.Response Please edit and resubmit your review Hello steve p.,We could not post your review because it focuses on one or more of these topics:SellersDeliveryPackagingPricingAvailabilityWhy isn't that allowed?These aspects vary by order and won't be relevant to all customers. That said, we want your feedback about sellers and packaging, just not in product reviews.Please edit and resubmit your review. Before you do, make sure it meets all of our community guidelines.",1,0
"amazing stuff.and quick delivery. only very often items arrive and are not as described, then I have to return it...",4,1
very pleased with my product and would use tooled up again as they were very quick and the karcher window cleaner is very good would recommend to all my friends,5,1
"I am stuck with an item as my seller sent a return code that doesn't work, so I can't print a label. Amazon customer services are useless and have failed to sort this out despite me wasting my time on 2 long phone calls. Their A-Z guarantee doesn't work, it is just a sham",1,0
If I could give amason no stars it would still not match my expectations they told me a delivery was on its way then the driver passed my house saying they couldn't find me.   Now I'll have to wait nearly a week to get resolution.,1,0
"got up monday morning to find a parcel under my husbands van, it had been raining all night, so it was soaking wet, not even my parcel!!! i have delivered to the right  address. then yesterday there said they tryed to deliver to & i wasn't in. that was there first lie, i have cameras on my driveway, no one tried to deliver. I then contacted them by phone & got told my parcel was still out for delivery. Another lie!!!!! still no parcel. very poor customer service",1,0
"Absolute scam... cancelled my membership because money was taken out of my account every month and never used Amazon prime, I requested a refund, instead of giving me a refund they took €88.67 out of my account with out my permission, when I emailed customer service, they replied with asked for a charge ID and they would be happy to refund me. I questioned what the charge ID was and they did not explain what it was... they wanted me to contact them AGAIN, which I did and no response.  I am still waiting on my refund and still not getting any sort of help from customer service. No customer service number for Ireland to deal with complaints, absolute joke!!!!!! I did not sign up for Amazon prime!! It was an app on a phone that I purchased and somehow got my bank details",1,0
"Have been a prime member for years. Recently - the massive company that is Amazon, not only is charging me for membership (which is so I can enjoy free deliveries), but have now started charging for next day delivery and you now have to spend over £20.00 for same day delivery. Why are we paying for membership? I would like the Managing /Director of Amazon to read this!! Please make sure he gets this message. You had my my loyalty for years. Please do not trample it!I never though Amazon would have become so underhanded to try these tactics.I also spoke with an agent today who was the most rude, obnoxious, customer service agent I have ever come across. She was not listening to me, she was over talking me, she was condescending, she did not try to help, she tried to frighten me by saying that my account had been compromised as I had 42 different accounts? If this is the case then Amazon has let fraudulent activity take place without my knowledge.Call was made today on 14/10/2023 from th",1,0
"Amazon became a total disaster on its shipping method for prime members , a lot of times I been buying things that it’s suppose to arrive on the next day or the next two days , then later order status change to “ RUNNING LATE” wich is so disgusting when you are paying $139 as a prime member wich always has been very expensive and now is much more expensive, if nothing gets better with amazon on this expect from me a prime membership cancellation I won’t waste my money anymore like that.",1,0
"Useless Amazon delivery drivers who think that throwing your package on the front drive and then driving off, leaving your parcel to be stolen, is good service. They deserve no stars but the lowest you can leave is one star.",1,0
Customer Reviews help customers to learn more about the product and decide whether it is the right product for them. Customer Reviews should give customers genuine product feedback from fellow shoppers. We have a zero tolerance policy for any review designed to mislead or manipulate customers,5,1
Christmas time is obviously a special time for young children and therefore delivery of gifts is critical. When we all order we all pay special attention to timings given by this vast company. Their structure must know the extra requirements needed to meet these offered targets…. It’s a contract of trust between them and their customers. We ordered gifts to be delivered ( their dates ) on the 23rd… now they say not until the 27th! Father Christmas normally is the 25th Amazon or did you fail to get that message !! Not just one gift but all the main gifts for our family. Our 8 year old will not understand their utter incompetence. Their rep who called sounded bored and just kept repeating the same phrase «  I’m sorry we can’t do that «  to every request for alternative delivery. Don’t give out dates that you have no intention of keeping.,1,0
Always responsive and professional even when there is an error with the order.  I wish other online stores kept to the same high standard as Amazon.,4,1
"I always order from Amazon and they never disappoint me. Their shipping, tracking, customer service, website are great.",5,1
"One of the best companies in the world when it comes to products ,delivery , and customer service , the buying and selling experience is awesome straight forward no hassle",5,1
What I enjoy most about shopping on Amazon is the comfort of knowing that if something goes wrong with a purchase/delivery....That they will fix and resolve the issue Immediately! ♡They seem to genuinely care about the experience you have shopping with their company.♡ I've ordered Amazon Prime...Amazon Fresh..and Wholefoods ♡Wella Novee,5,1
Honestly I don't know why people are leaving bad reviews but I order so much stuff from Amazon and have never been scammed or anything like that. I recently ordered three things they haven't arrived yet let alone have been shipped yet because I bought them just last night but the pictures were good and I will update when the packages come! Edit: I forgot about the update! One came the night after I wrote this review and the other two came the week after.,5,1
"Great service, great books on cricket",5,1
"Amazon offered what they call a, ""Lightning Discount"", to an item in my cart. The discount was for $81.When I went to check-out, the discount was taken away. I spoke with a supervisor at costumer service, who told me that those discounts last for 15 minutes. To me, that's ridiculous. Especially for a 5 year Prime member, who's spent thousands with Amazon. I learned this after a 2 hour long run-around with customer service. The supervisor refused to re-honor their discount. I'm paying $100 more than Amazon's regular price with one of their competitors. The competitor is honest, and a human being.Amazon's discount policy, in this case, is deceptive. Beware",1,0
I've got a burst tyre so needed an air compressor to see if i can crawl to a garage for a new tyre. Took three days to arrive. Tracked them online. Guy big grin on his face when i said there tracking was good. Made a comment on notice i put on front door for friend in case i was not in. Delivery man wears bright fluorescent  yellow. Makes a trite comment and still grinning walks away. Now i have to see if i can repair car.     ,1,0
Only company who had the packing material I wanted and could deliver this week. Everyone else closed till after new year.,5,1
"customer service good beyond belief. made more than 100 orders, problems with about 10. everything resolved perfectly.",5,1
"Basically, the Amazon Prime site has been disbanded, so as an alternative I'm forced to write my review here.Looking forward to a response.On the 19th of January I placed an order with Amazon. When I checked the tracker it showed that it was going to be delivered by 8pm on the 31st January. No 2 hour window, so basically stayed in all day for nothing. No one showed up.Just after 8pm on the 31st January, the tracker was updated and showed that it was going to be delivered between 1st to 3rd February. No specific date or time given.Later again that night, yet another update on the tracker to say it HAD been delivered on the 28th January. Absolute lies as I hadn't moved from the house. So contradictory updates here, unless the driver's name is Marty Mcfly and drives a DeLorean. Whichever courier service you use, should be reprimanded, and possibly consider tendering out for another delivery firm once their contract is up for renewal.This service is absolutely abysmal. I'm absolutely livid",1,0
"I have mostly enjoyed using Amazon.  That said, I have found it very disturbing that they are going out of their way to steal money from my account by sneakily putting me into a prime membership. This has gone on for almost a year now. When I realize and cancel,  then it happens again and I was only refunded for one month out of 10.  I don't use prime. I always order over the free shipping minimum and also use subscribe n save.  I am going to find my way out of Amazon over this. They are losing a customer here.  It really is pure evil to steal like that.    They are not the only company doing this. Wyze cameras also did, and some apps will make it look like you can do a one month trial but then say you locked yourself into a year and take the whole chunk out before you see what they're doing. I'm done with internet shopping! (They can apologize and refund my money if they want my business.)",1,0
Cant wait for the drone delivery service to begin!,5,1
Last package arrived on time and it was what I expected. That's why amazon is a huge company. Consistency.,5,1
I love amazon! I check prices on things on my phone anytime I’m about to make a purchase I can get on amazon-and I’m usually not disappointed!! They fix their mistakes immediately and offer monetary gifts in exchange! Can’t live without them!,5,1
Just brilliant!!!!!,5,1
"Terrible customer service only option chat, says my order was delivered I was in all day nothing received. Told me to wait till Saturday I am away now till Tuesday.  I pay prime for a reason so what’s the point if they fail and lie about saying it has been delivered!!!  It then hung up on me even though I pressed the button to continue chat.",1,0
Review text not found,5,1
"I have been a long time member of Amazon Prime. I used to place orders and always received them within 1-2 days. Once the pandemic hit, it apparently gave businesses an excuse to slack off on customer service. The 2 day guarentee changed to a 2 day approximate, and we would get items that ran a day or 2 late once a month or so. Back in August 2023 I ordered 2 laptops, not a cheap order it was about $2700. They were both ordered from the same amazon store and delivery to the same address. On day 2 one laptop arrived, but not the other. Although it was odd since they should have shipped together I let it slide since my account said it was delayed in transit to be delivered the next day. I contacted them on chat at the end of day 3 when it said delayed in transit again. They promptly lied to me and said it was in the system and would be dropped off on day 4. At the end of day 4 I was told after a very lengthy chat with 2 CS reps that ""they didn't know where the item was but not to worry t",1,0
"Love amazon, dont know what i did before them!",5,1
"Thoroughly Frustrated. With a company of this magnitude, I don't understand the reason why you can't get true Customer Service or there is nothing in place to resolve issues. I ordered a computer for my sister's birthday on 10/28/23 with promised 2-day shipping. I paid more to get it on Amazon because I wanted the 2-day shipping. Was supposed to be here on the 30th, then 31, then they changed to the 1st, then today the 3rd. Still has not arrived and tomorrow will be a week. I called them several times only to get ""I'm sorry for the inconvenience"" with no resolve. When you contact them online the chat gives you general answers that don't allow you to move forward. I can't even estimate how much money I have spent at Amazon. I've dealt with the late shipping multiple times but this is ridiculous. I am so disappointed with them. Not professional at all.",1,0
Delivery driver said left items behind wheelie bin not true it was round back of building just dumped half out of storage box loads of room in storage box for doors to shut .It was heavy rain so cardboard box item in fell apart. Some drivers are getting lazy in Delivery placing items where there secure no excuses.,2,0
package was delivered but i didn't hear a knock on the door and only noticed the email half an hour later. The email said the package was handed to me but was left on the pavement outside my property.luckily it was still there and not taken by anyone.,1,0
love the site. easy to use no problems ever. i have got so much on amazonover 40 orders in the last 6 months.,5,1
"it used to be fine. But then they started adding so many security measures it now take me sometimes half an hour to login. Obviously nobody is going to keep using a service like that. You have to put captcha codes in over and over, phone amazon to find our why, clear your cache. This level of security is absolutely ridiculous.",2,0
"Generally a very happy ~Amazon customer for numerous orders.  This complaint is exceptionally disappointing:Amazon Seller - DINGKUNBAIHUOWomens Ankle Boots Patent Leather Boots, Black 2, 5.5 UKDate shipped: 20-Nov-2022 08:54 BTReturn request approved•	Refund requested on: Dec 1, 2022NONSENCE response,  exasperating, futile COMPLAINT regarding OUTSTANDING REFUNDS X 221-Feb-2023 05:18Dear Amazon Buyer Hello First of all, thank you for your trust and support. Unfortunately, you are not satisfied with this product. If you choose to return goods, there will be longer time and logistics costs. The logistics cost can be much higher than the value of the product itself. You can also give the product as a gift to your family or friends. I will refund you 50% of the refund. You can still keep this package without returning it. If you think my proposal is valid, please reply to my email. I hope we can understand each other. Of course, I also respect your suggestion. Please consider and reply to m",1,0
only place i go for new items.,4,1
"Poor customer service, give customers alot of runaround",1,0
"Order# 405-2165061-8773937 (Amazon)Ordered Placed on 4 November 2023. out of 5 items ordered we received only 4 item. after a week when we called Amazon about delivery date for 5th pending item, got shocked to now that item is not available and you will get delivery after 1 and half month i.e. 18th Dec 2023 that too not sure. this is simply cheating by putting products on online portal on offer to attract customer and later come up with such kind of bizarre issue to force customer to cancel the order.",1,0
Amazon is an amazing place to order from 🤩 I really like it!,4,1
My go to place for everything.  Very few issues but had a few in the past.  Prime is worth it to me bc of all the benefits,4,1
"A great e-commerce portal to buy whatever you want, including stuff that you cannot find in local shops. Easy purchases, including cash on delivery, and every other means of electronic payment. Tracking is fluid and delivery is always on time. The deliveryman also bring machines to help you pay with cards. Completely satisfied with the purchase.",5,1
"They will no longer deliver our products.  Delivery was fine since we began with Amz ~ 2 yrs ago.  Then we heard abt the layoffs there. They, obviously, laid off the wrong ppl. >>>This is how Amazon clerks are Not capable of simply delivering a product going to an Amazon Locker in a well-known chain STORE open 7days/365 days, 9-5pm.  NOT A HOME.  Amazon workers lies: ""cannot gain access"". Products just sits there on Amazon. CS worthless.Full Moon doggie treatsThursday, April 13 8:07 PM Package is returning to seller. American Canyon, US 7:40 AM Stop and Return Request Received. US 7:40 AM Customer refused delivery because order was previously cancelled. US 4:03 AM Package being processed at carrier facility. American Canyon, US 3:49 AM Package arrived at a carrier facility. American Canyon, US Wednesday, April 12 8:46 AM A delivery agent has been assigned to your shipment. 4:37 AM Package being processed at carrier facility. American Canyon, US 4:21 AM Package arrived at a carrier faci",1,0
"Never had any sort of issue.  I always get exactly what i order, exactly when i'm supposed to get it.  And they charge me exactly what they say they will.",5,1
Review text not found,5,1
"We have had major problems with items never turning up from amazon's chosen delivery service 'amazon logistics', just like soo sooo many people!And now amazon tell me that I must pay for items I never receive or they will prohibit my account from ever buying things that never arrive again?!Their horrific customer service team conducted an 'investigation' and the results of their 'investigation' was that ""amazon does not make mistakes"" and ""they will not discuss it any further"", so clearly a comprehensive investigation!But I guess this is the power that the largest online marketplace has?!Pay for items they never actually deliver or get banned........Complain to them about their customer service and get blocked......Truely the ""Earth's Most Customer-Centric Company""",1,0
"they have gotten to big for their britches, & don't care about standing behind what they have sold to us !",2,0
"I’m IMPRESSED So someone has been trying to scam me. They have this fake Amazon account & they write to say you made this purchase & we are taking payment if it wasn’t you call this number. It’s a scam. The number tried to get my card details but I said if you have it why are you asking me? So this was happening a lot I cancelled my card. Amazon wrote to say I should enter details of a new card. I wrote back to say no someone has been trying to scam me I’ve cancelled my cards, when they call I tell them - I didn’t make Amazon purchase I don’t have an account..So Amazon then checked my account & I’ve not used prime after my free trial.. & I got a refund.. over £200!! I didn’t even ask.When I have shopped at Amazon I’ve only ever had great experiences..  so for me Amazon is BRILLIANT & has integrity Thank you to the lady that checked my account, her name was Emma. Thank you Bezoz for integrity & for the staff & Emma",5,1
"I always like to spend some time and efforts to write unbiased reviews on Amazon (or other site, such as eBay, Google...etc), because I want other customers to learn from my experiences with a product or company, good or bad. Like many other customer I am sure, I also use the review on Amazon to decide or not to buy a product, so I also feel that it's normal to do the same for others people.Unfortunately, after spending time and efforts to write good (sometimes long) reviews about products purchased on the site, the review get sent back to me with the following error message from Amazon: ""Thank you for submitting a customer review on Amazon. After carefully reviewing your submission, your review could not be posted to the website. While we appreciate your time and comments, reviews must adhere to the following guidelines *insert link to Amazon review guidelines here*I always try to follow all their guideline to the letter when posting a product review, so I am very surprised to get thi",1,0
"Never has any issues,always amazing service",5,1
"Beware, Amazon has scammers who have access into their system through a backdoor who will purchase items on your account and charge them to your credit card.  It will look like you purchased the items and that the item will be delivered to you.  However, you will pay for the item but never receive it.  They have tried to do this to us 3 times.  We fortunately caught them and cancelled our credit card before we were charged.  However, when we called amazon, their customer service was useless and said that they were getting access into our account through our email when this was impossible.  They refused to admit that the issue is on their side.  We have since cancelled our account with them.",1,0
Whether kindle or other items always dealt with quickly and accurately.,4,1
I returned an item in May and have the return receipt. Amazon cannot find the item returned. Yet I am still charged. I have talked to at least 10 different people in Customer service and no one can resolve this issue. All of the  calls go out of the country.  I will not buy from them again. Amazon does not have the ability to run such a business.,1,0
"I will never use this service ever again. I ordered goods. The driver knocked on my door and sat on the stairs outside.I answered, he queried if I lived in my home then queried my ID. I aked him to leave as I was in a meeting. He remained and questioned if my door number was correct ask for my email my passport. I asked for him to leave and take the goods away as I did not wish to continue with this farce. He knocked on all of my neighbours doors for verification, which in itself was bizarre. I have found this stressful and ridiculous to say the least.",1,0
"Love amazon.com, No issues so far and i truly amazed with the range of products. Keep up the good work",4,1
"I have been a Prime member with Amazon for almost 10 years (maybe longer). When you placed an order marked ""Prime"", you ALWAYS got it in 2 days. We order about once/week. Yesterday morning I needed to order a few things. I went to place the first order which was not fulfilled by Amazon but shipped by Amazon so when I saw the estimated delivery time Friday the 15th, I was not bothered by it. Then I saw I had accumulated points and I wanted to order these yoga pants that I have been looking at. It was also a Prime product but was not fulfilled by Amazon but shipped by Amazon. Since I received the product for free, I paid the $3.99 expedited one day shipping. I just received noticed today that it really is not one day shipping but 2 day shipping (what a load of bull). So I started looking around in Amazon and choosing items that are Prime, In-Stock, Sold and Fulfilled BY Amazon. THEY ALL SAID DELIVERY BY FRIDAY. So tell me, what happened to the 2 day free shipping that Prime members recei",1,0
"This is a pretty long story but TLDR; returned faulty iMac to Amazon using my own chosen courier after they refused to arrange a collection - now have both my item and funds and are refusing to refund me.A while back I purchased an iMac however as it was faulty, I requested a return. Amazon refused to pick up the package and would only help me out if I used my own courier. I arranged a UPS collection from my house and Amazon then refunded me for my shipping after providing them with my shipping invoice which also included tracking number. The item was returned to Amazon a day after it was collected from my address so after chasing up multiple times (one day I was literally transferred to 7 agents and then eventually a ‘manager’ who was unable to provide me with a resolution as I didn’t have a collection receipt - I was never told I needed to provide this and UPS never handed a collection receipt over to me upon pickup, as the tracking was provided I didn’t understand why this was neede",1,0
"In the past 2 days, I have tried to get a decent answer for my issue with Amazon customer support, via email and via Phone (Jammie, Victoria, Melinda)On June 9 I emailed Amazon Customer service regards to a shipping fee concern. I was told by 2 different Amazon agents that I will be reimbursed for the shipping fees. Yet, now when asking for the refund, I was told It will not happen as the agents made a mistake.This is not my fault that your agent made a mistake in the answer they gave me, I’m expecting Amazon to take responsibility for its agent mistakes. If I knew you wouldn't stand behind your promise, I wouldn’t continue placing those orders (Shipping fee value $172) Such a bad experience with Amazon over this case Such a disappointment from Amazon, for not taking responsibility for their agent's mistakes.",1,0
"Bought bottled water in May on a 28 day delivery schedule..Since then, delivery date has been moved 4 times - Now mid August, still nothing. Asked for refund but said they can't pay be back. Now on indeterminate delivery day with no possibility of ha I g a refund. Paid over £20. Awful situation, had very poor customer service since ordering and still not had a refund.",1,0
Very pleased with Amazon. Good fast delivery and good prices. Only started using in lockdown.,5,1
I created my account when I was back in China but now I am back home. So I no longer have access to my old phone number so whenever i try to do anything on amazon it asks me for the two step verfication and i cant log in. I emailed them to close 2 step but they were just sorry and wanted me to call them. which is expensive here in Turkey to call US. But i still called them and their answer was Amazon doesnt let them to make any changes on accounts. So he was telling me I must recover that phone number in order to my account which is ridicilous i have bought an item on my amazon account but this is funny too when i paid for it they didnt ask me for two step verification but when i try to read that through kindle app they ask me..... the worst worst worst costumer support and worst online service.,1,0
"I am really disappointed in customer service at amazon. Options provided on their automated system are ridiculously limited with no option of selecting ""other"" if none of their options (probably deliberately) are appropriate. The ring back service is equally limited. I wonder.how many thousands if customers are charged postage when their item qualifies for free delivery?? And just how many times do you have to cancel prime when you don't realise you have been given it without asking for it???? Shame on you Amazon, you make plenty of profit, without paying taxes, yet are happy to continue to charge customers extra inappropriately.",1,0
Excellen choice and service for all sorts of items. Good returns policy as well,5,1
"Love Amazon, I use it all the time",5,1
Managed to sort out my refund for a product quickly,5,1
BEAUTIFULL BEADS AND CHARMS AND EXCELLENT CUSTOMER SERVICE,5,1
"Amazon shipped me the wrong item, it was not even close. They shipped it for amazon.com not amazon.ca where I ordered it from. I had to pay shipping for the return. They gave me back the purchase price plus $2, the shipping cost me $14. So I am out $12! and they do not allow me to give a negative review because it was not a review of the item.",1,0
I have used this site many times but mostly for books. Fantastic assortment great prices excellent delivery times.,5,1
Honestly I can't understand why amazon has got so many bad reviews I've used them for years and out of 300 delivery's maybe 10 wasn't delivered next day and any time I've needed to return something I've never had a problem Evan when I've missed the deadline to send an item back by a month they've helped sort it out without any issue ,5,1
